model,MAE,MSE,RMSE,R2
Tuned Ridge,14.486763347559434,332.0302371356323,18.22169687860141,0.7190473632023187
Ridge,14.490615448282012,332.0419839485501,18.22201920612944,0.7190374234507716
Linear Regression,14.493138035559434,332.0847892626229,18.223193717420195,0.7190012030572273
Gradient Boosting,15.33239877983614,375.85661836232794,19.38702190544819,0.6819629775356281
Random Forest,15.612807855754978,389.2991191050819,19.730664436482666,0.6705883929152257
Decision Tree,18.815870614046585,554.3967252466352,23.54563070394665,0.5308884421679488
